EFX Type,CRC-32 Int,CRC Hex
00_JFunder01,1630606931,53163161
00_JFunder02,4164437993,E94738F8
00_JFup,4131024832,C06F3AF6
00_JFup0,3175860339,73C84BBD
00_JFup00,4016593890,E25B68EF
00_JFup000,1748163491,A3DB3268
00_JFup01,2557438836,746B6F98
00_JFup02,23476942,CE3A6601
00_Undersmk,3762316767,DF6540E0
00_Water,3061555288,58A07BB6
00_Water0,1138725578,CA92DF43
00_Water00,1563149456,90C42B5D
00_Water000,3599468588,2C888BD6
00_Water01,707589126,06F42C2A
00_Water02,3005588924,BCA525B3
00_Water1,886612572,5CA2D834
00_awa,1809244523,6BE1D66B
00_fall00,3570020282,BA2FCAD4
00_fall0000,1281665534,FEA9644C
00_moya,977726166,D6EA463A
00_moya0,1230176679,A7015349
00_moya00,1847743974,E655226E
00_moya000,1876841908,B455DE6F
00_moya1,1045705009,3131543E
00_moya2,2807914635,8B605DA7
00_moya3,3495579677,1D505AD0
00_moya4,1312736702,BEC53E4E
00_moya5,960099624,28F53939
00_moya6,2687542418,92A430A0
00_moya7,3610743812,049437D7
00_moya8,1200130453,95898847
00_moyaA,1850818573,0D40516E
00_musi,3754142920,C8ACC3DF
00_nomal,1996582148,046D0177
00_over,3782321697,21A671E1
00_over0,1783714132,5451516A
00_plane,1295693318,06B63A4D
00_sibukiS,2567315663,CF200699
00_smk0,3986427813,A50F9CED
00_smk01,4153396050,52CB8FF7
00_smk1,2593865523,333F9B9A
00_smk10,2576599685,85CA9399
00_suna,2662492234,4A68B29E
00_suna0,2957912650,4A2A4EB0
00_suna00,2959136264,08D660B0
00_suna000101,3107387529,89F836B9
00_suna0001010,2986622416,D03D04B2
00_suna00012,3189956971,6BE122BE
00_suna000120,4228360861,9DAA07FC
00_suna001,1605757150,DEE8B55F
00_suna1,3343456988,DC1A49C7
00_sunaA,2538367968,E06B4C97
00_tubu,3037383554,82CB0AB5
00g_smk,712134116,E44D722A
00g_smk00,3420465128,E827E0CB
00g_smk000,2294528705,C1BAC388
00g_smk0000,3392274736,300132CA
00g_smk001,4291070551,578AC4FF
00g_smk0010,3542691953,713029D3
00g_smk00100,17324086,36580801
00g_smk1,4136850454,165493F6
00g_smk10,3539670697,A916FBD2
00g_smk100,2298597622,F6D00189
00moya,2783564229,C5D1E9A5
00moya0,3446861634,42EF72CD
00moya00,3200672511,FF62C6BE
00moya000,191174979,4319650B
00moya0000,3372696991,9F4507C9
00moya00000,1184938300,3CB9A046
00moya0001,3187701001,097500BE
00moya0002,654910643,B3240927
00moya01,3384889961,6952C1C9
00moya010,310257666,02287E12
00moya0100,3368365992,A82FC5C8
00moya01000,4263304793,59DE1CFE
00moya010000,881902882,22C59034
00moya0100000,4086161805,8DE18DF3
00moya010001,1134032308,B4F59743
00moya01001,2300309199,CFEE1B89
00moya010010,764146787,63F48B2D
00moya01002,269664117,75BF1210
00moya0101,3217170238,3E1FC2BF
00moya0102,650858116,844ECB26
00moya011,1702434964,94187965
00moya2,595365486,6E8E7C23
00tubu_bil,2432010572,4C89F590
00tubu_bil0,1495517342,9EC82359
00tubu_bil00,825732391,27AD3731
00tubu_bil1,774174728,08F8242E
00tubu_bil10,674012262,669C2C28
00tubu_bil11,1596697840,F0AC2B5F
00tubu_bil110,2604394780,1CE93B9B
01,817814473,C9DBBE30
010,3293705315,63F451C4
010_ACT_DECAL,3118402508,CC0BDFB9
010_DECAL_PT,2346405524,944EDB8B
010_Decal,4175666244,449CE3F8
010_GPU,3824588227,C395F6E3
010_GPUP,1776628843,6B34E569
010_INSIDE,3864567698,929F58E6
010_LIGHT,1903627850,4A0E7771
010_Normal,2323105650,72C7778A
010_blur,2476479189,D5129C93
010_fire1,1701215890,927E6665
010_fire2,4235145000,282F6FFC
01_A0,2016413893,C5083078
01_A00,3450812059,9B36AFCD
01_ACT_FADE,1992557258,CA02C476
01_GPU,2433201241,59B40791
01_GPU0,889183816,48DEFF34
01_GPUP,2035138320,10BF4D79
01_Hamon,262506373,8587A50F
01_Hamon0,3137659524,84E204BB
01_Hamon1,3422802450,12D203CC
01_Hamon2,1426752424,A8830A55
01_Hamon3,571323198,3EB30D22
01_MOD_BIRD,267599044,C43CF30F
01_MOD_FADE,3843915626,6A7F1DE5
01_MOD_Feather,3006212617,092A2FB3
01_MOD_HOMING,683857370,DAD5C228
01_MOD_shell,548723764,34DCB420
01_PT_FADE,2462516238,0E04C792
01_P_fire,1684694784,00676A64
01_P_line,3986741817,39DAA0ED
01_Water,269265900,ECAB0C10
01_awa,1454819547,DBC8B656
01_bl,2755945083,7B6244A4
01_body,1165614447,6FDD7945
01_body0,4220597688,B83591FB
01_body1,2358641966,2E05968C
01_body2,362763412,94549F15
01_body3,1654154242,02649862
01_fall,1702955473,D1098165
01_fire,3322928914,12DF0FC6
01_mod,2916965737,695DDDAD
01_moya,4045027699,73391AF1
01_moya0,4012116499,130A24EF
01_moya00,2726843768,785588A2
01_moya000,2024096247,F741A578
01_moya01,3582944750,EE658FD5
01_moya1,2552445573,853A2398
01_moya2,19557183,3F6B2A01
01_moya3,1982684073,A95B2D76
01_moya4,3897150986,0ACE49E8
01_moya5,2672754332,9CFE4E9F
01_moya6,105361190,26AF4706
01_moya7,1900060592,B09F4071
01_moyaA,3357952953,B94B26C8
01_moyaA0,2494307791,CF1DAC94
01_moyaB,1362041347,031A2F51
01_moyaB0,3212922380,0C4E81BF
01_moyaB1,3364257434,9A7E86C8
01_moyaB10,919325832,88CCCB36
01_moyaB100,3314348146,72F08CC5
01_moyaC,640166549,952A2826
01_moyaD,3092037430,36BF4CB8
01_musi,345997165,6D7F9F14
01_over,707622276,84752D2A
01_plane,3947740594,B2BD4DEB
01_plume,3679446493,DDE54FDB
01_smk,434940928,00ACEC19
01_smk1,1372056726,96ECC751
01_sunaA,825974868,54603B31
01_sunaA0,1257152033,219EEE4A
01_sunaA00,1794821740,6CCEFA6A
01_sunaA000,1656219409,11E7B762
01_sunaA1,1038724791,B7AEE93D
01_sunaA10,1944190765,2DFFE173
01_sunaA100,1668648230,268D7563
01_sunaB,2821861870,EE3132A8
01_sunaB0,1640222178,E2CDC361
01_sunaB00,1757179957,3570BC68
01_sunaB000,1879197951,FF480270
01_sunaB1,382008692,74FDC416
01_sunaB2,2412621006,CEACCD8F
01_sunaB3,4174027864,589CCAF8
01_sunaB4,1722681851,FB09AE66
01_sunaC,3744792952,780135DF
01_sunaD,1095865563,DB945141
01_sunaD0,932801124,646A9937
01_suna_dot750,4074352940,2CB1D9F2
01_tubu,2119571495,2718567E
01_water1,4292782068,F4A7DEFF
01fall,202557655,D7C8120C
01g_smk,3777928769,419E2EE1
01g_smk0,669216564,346FE327
01g_smk00,122300278,76274A07
01g_smk000,2679680642,82AEB89F
01g_smk0000,636512782,0E6AF025
01g_smk0001,1391942296,985AF752
01g_smk00010,3630161024,80DC5FD8
01g_smk000100,3417959504,50ECB9CB
01g_smk0001000,1299830964,B4D8794D
01g_smk000101,3166624966,C6DCBEBC
01g_smk001,3904871956,149EBFE8
01g_smk002,1907806126,AECFB671
01g_smk0020,398854284,8C08C617
01g_smk00200,3267377583,AF39C0C2
01g_smk002000,1618104044,EC4E7260
01g_smk0020000,2399530161,B1EC058F
01g_smk00200000,2586883674,5AB6309A
01g_smk01,1884100576,E0174D70
01g_smk010,2258870211,C39FA386
01g_smk011,4054101845,55AFA4F1
01g_smk02,3913565786,5A4644E9
01g_smk020,2911816704,00CC8EAD
01g_smk0200,645185120,60BE7426
01g_smk02000,1800217930,4A254D6B
01g_smk020000,2965099783,07D5BBB0
01g_smk0200000,3087867610,DA1E0DB8
01g_smk02000000,1080493688,78066740
01g_smk020001,3351045521,91E5BCC7
01g_smk02001,474617308,DC154A1C
01g_smk03,2655221452,CC76439E
01g_smk1,1357143970,A25FE450
01g_smk2,3387756056,180EEDC9
01g_smk3,3203022478,8E3EEABE
01g_smk4,546220845,2DAB8E20
01moya01,1874221533,DD59B66F
01moya010,3738445980,9C28D4DE
01suna_smk,2282093775,CFFC0588
01suna_smk0,764078705,71EA8A2D
01suna_smk00,32963564,ECFBF601
01tubu_mod,3562272134,86F553D4
01tubu_mod0,584467788,4C45D622
01tubu_mod00,1502735186,52EB9159
01tubu_mod10,1082841619,13DA8A40
02,2847378035,738AB7A9
02_Act_BK,2681788752,50D9D89F
02_Act_suji,2292884851,73A5AA88
02_Aura,1865393206,36A42F6F
02_Blade,4222329923,43A4ABFB
02_CH_dist_BK,921398879,5F6EEB36
02_CH_smk_BK,611467211,CB3F7224
02_CH_smk_suji,1400244805,450A7653
02_CH_tubu,355447446,96B22F15
02_HM_A0,1955776959,BFC99274
02_HM_A1,60160297,29F99503
02_HM_B0,1606392444,7C9ABF5F
02_HM_B1,683191018,EAAAB828
02_HM_C0,1185196861,3DABA446
02_HM_C1,832805803,AB9BA331
02_HM_D0,166018554,FA3DE509
02_HM_D00,2075709075,93CEB87B
02_HM_D000,1336167068,9C4AA44F
02_HM_D0000000000000,4018609560,981D87EF
02_HM_D000000000001,621445861,E5820A25
02_HM_D0000000000010,4137430233,D92C9CF6
02_HM_D00000000001,307721493,15755712
02_HM_D000000000010,1259766578,3283164B
02_HM_D0000000001,2543547902,FE759B97
02_HM_D00000000010,2085319874,C2744B7C
02_HM_D000000001,1051412140,AC46AB3E
02_HM_D0000000010,4186403881,297487F9
02_HM_D1,2128743788,6C0DE27E
02_HM_D10,1654915026,D2FFA362
02_Hamon,1045273880,189D4D3E
02_Hamon0,898360679,67E58B35
02_Hamon00,4114239410,B24F3AF5
02_Hamon1,1116526065,F1D58C42
02_Hamon2,3682960459,4B8485DB
02_Hamon3,2894247133,DDB482AC
02_Hamon4,853942654,7E21E632
02_bl,3069300117,95CDF1B6
02_light,1879889496,58D60C70
02_light0,1125770684,BCE51943
02_light1,874435882,2AD51E34
02_moya,2005814237,DD4B8E77
02_moya0,3737915534,8E10CCDE
02_moya00,738677403,9B52072C
02_moya000,1093172530,327D2841
02_moya01,1526751757,0D62005B
02_moya010,1479756915,734C3358
02_moya1,2848661528,1820CBA9
02_musi,2450197955,C30D0B92
02_over,2897807146,2A07B9AC
02_plane,3668289327,2FA7A5DA
02_sibukiS00,3607088593,D1CDFFD6
02_sibukiS1,1583941894,0609695E
02_sibukiS10,3487890576,90FCE4CF
02_sibukiS11,3101936646,06CCE3B8
02_sibukiS12,569023932,BC9DEA21
02_sibukiS13,1458416938,2AADED56
02_sibukiS130,4248048855,D71434FD
02_sibukiS1300,1049838543,CF43933E
02_sibukiS14,3364436105,893889C8
02_sibukiS15,3213756447,1F088EBF
02_sibukiS2,3344980156,BC5860C7
02_sibukiS3,2959566890,2A6867B0
02_sibukiS4,772013449,89FD032E
02_sibukiS5,1493486879,1FCD0459
02_sibukiS6,3222117541,A59C0DC0
02_sibukiS7,3070929971,33AC0AB7
02_sibukiS8,666218914,A2B1B527
02_sibukiS9,1353875764,3481B250
02_smk,1582094032,D0D64C5E
02_wire,2822675782,469D3EA8
03,3736124133,E5BAB0DE
03_A1,2772365528,D8F03EA5
03_A10,2926859450,BA5474AE
03_A100,230891114,6A1EC30D
03_A1000,2343795700,F47BB38B
03_A101,2059677436,FC2EC47A
03_A11,3648218156,2C6473D9
03_musi,1498930790,66DE5759
03_over,1743115407,8FD4E567
03_plane,2094181531,9BACD27C
03_sibukiS0000,1509901174,7643FF59
03_sibukiS00000,2682657766,E61BE69F
03_sibukiS000000,1865388538,FA912F6F
03_smk,1663893344,60FF2C63
042_000,3227572149,B5D760C0
042_010,3648775924,F4E67BD9
042_0100,2630909263,4F7DD09C
042_01_00,2209165517,CD30AD83
042_01_0000,2702318685,5D1C12A1
042_01_00000,866258937,F90FA233
042_01_000000,3800815643,1BD88BE2
042_060,2520412211,33703A96
042_0600,2577361866,CA6B9F99
042_06000,1576109161,6984F15D
042_060000,317331668,D418EA12
042_06_,1261899002,FA0C374B
042_06_0,2079988898,A21CFA7B
042_06_00,511314036,74087A1E
042_06_000,1907359617,81FFAF71
042_06_00000,4127535479,773105F6
042_06_000000,3897479426,02D14EE8
042_06_0000000,3359579985,511F3FC8
042_06_00000000,981298897,D16E7D3A
042_06_000000000,3610750848,80AF37D7
042_06_0000000000,3417736227,2384B6CB
042_06_00000000000,2222323546,5AF77584
042_06_000000000000,2917399985,B1FDE3AD
042_06_0000000000000,2584891467,4B50129A
042_06_01,1769814242,E2387D69
04_awa,2656454571,AB47569E
04_awa0000,959863486,BE5A3639
04_awa00000,171546749,7D98390A
04_awa000000,140969141,B5046708
04_musi,1146285790,DEEE5244
04_over,2061558839,37E4E07A
04_sibukiS,3303698883,C371EAC4
04_sibukiS00000,4197167398,26B12BFA
04_sibukiS000000,4096696032,E09E2EF4
04_sibukiS0000000,2250767434,4AFC2786
04_sibukiS0100,625880857,192F4E25
04_sibukiS01000,1117247043,43D69742
04_sibukiS010000,3377379152,50B74EC9
05_musi,2400075131,7B3D0E8F
05_over,2981902226,9237BCB1
06_awa,3835040971,CB1496E4
06_awa0,713801088,80BD8B2A
06_awa0000,398488120,3872C017
06_awa00000,248268864,4048CC0E
06_awa000000,1342946676,74BD0B50
06_musi,161107925,D54F9A09
06_over,925386044,3C452837
07_musi,3267796080,709CC6C2
07_over,4235499161,999674FC
08_awa,1537649322,AAAAA65B
08_awa0,276946160,F0DC8110
08_awa00,2608087916,6C43749B
08_musi,865087141,A52E9033
08_sibukiS,585007831,D782DE22
09_awa,1724285722,1A83C666
09_musi,4174183680,00FDCCF8
0PT_span,3926849852,3CF90EEA
0_1,1210614492,DC822848
0_12,1207625725,FDE7FA47
0_120,3851568362,EA4492E5
0_1200,1726196110,8EA9E366
0_1_ACT_HORN,3499628501,D51798D0
0_5_EXT_smk,3896140213,B5613AE8
0_ACT,3449340236,4CC198CD
0_ACT00,1227897320,E8393049
0_ACT1,779720000,4095792E
0_ACT10,1344997545,A9082B50
0_ACT2,3077620986,FAC470B7
0_ACT3,3229086828,6CF477C0
0_ACT_ANGLE,2168655266,A20D4381
0_ACT_BURN,644221910,D60B6626
0_ACT_CPT,720191801,3941ED2A
0_ACT_DECAL,1440312294,E66BD955
0_ACT_ELEC,3547616187,BB5374D3
0_ACT_FADE,962722674,72FB6139
0_ACT_FILTER,3610060912,70282DD7
0_ACT_FRONT,2134452829,5D2A397F
0_ACT_HAHEN,2575063673,795A7C99
0_ACT_HORN,1483394324,14CD6A58
0_ACT_INIT,3040932518,A6F240B5
0_ACT_LAND,3677668106,0AC334DB
0_ACT_LIGHT,3940029532,5C14D8EA
0_ACT_MOD,4036915913,C9729EF0
0_ACT_MOD0,3297891530,CAD491C4
0_ACT_MOGA,3367945891,A3C6BEC8
0_ACT_NORMAL,2305564553,891F6C89
0_ACT_OUT,1585466392,184C805E
0_ACT_POS,1739835181,2DC7B367
0_ACT_PT,3840419876,2428E8E4
0_ACT_PT0,440286293,553C3E1A
0_ACT_PTC,3543276755,D31C32D3
0_ACT_RAYCAST,952769792,001DCA38
0_ACT_RAYCAST1,1374079527,27CAE651
0_ACT_RAYCAST2,3371146141,9D9BEFC8
0_ACT_SIGN,3964307244,2C874AEC
0_ACT_TEETH,23896795,DBA26C01
0_ACT_VANISH,3146175791,2FD586BB
0_ACT_VEL,349789920,E05ED914
0_ACT_YOIN,435762804,7436F919
0_ACT_elec_PT,390772532,34B74A17
0_ANGLE_PT,3131560422,E6D1A7BA
0_Act,1668465958,26C57263
0_Act_break,1277264139,0B81214C
0_Action,992985778,B2C22F3B
0_Aura,2787827378,B2DE2AA6
0_Aura1,1947727940,44F81774
0_Aura11,538677835,4B921B20
0_BODY_PT,1013975445,9509703C
0_B_DECAL,1893728891,7B02E070
0_B_GPUP,4102467353,19AF86F4
0_B_LIGHT,3487661505,C17DE1CF
0_B_ember,3770766276,C453C1E0
0_B_smk,3673247775,1F50F1DA
0_Blade,297264640,00E6B711
0_CPT,2951959728,B054F3AF
0_DECAL,3527747857,112945D2
0_DECAL0,1287345527,7755BB4C
0_DECAL000,2195718318,AE00E082
0_DECAL01,2683527152,F05FF39F
0_DECAL1,1002202593,E165BC3B
0_DECAL10,4058996263,275EEFF1
0_DECAL2,2729784411,5B34B5A2
0_DECAL20,3670150628,E40DC2DA
0_DECAL3,3585213645,CD04B2D5
0_DECAL30,3285793957,A53CD9C3
0_DECAL4,1272353134,6E91D64B
0_DECAL_,2444634558,BE29B691
0_DECAL_0,177281038,0E18910A
0_DECAL_1,2106992792,9828967D
0_DECAL_2,3835656482,22799FE4
0_DECAL_3,2476231092,B4499893
0_DECAL_4,234675223,17DCFC0D
0_DECAL_ADD,1031320230,A6B2783D
0_DECAL_DOWN,4102573241,B94C88F4
0_DECAL_DOWN0,2492511176,C8B39094
0_DECAL_UP,2488496649,09725394
0_DECAL_UP0,1603394426,7ADB915F
0_DECAL_koge,1198422658,827A6E47
0_DECAL_nen,1498246990,4E6F4D59
0_DECAL_wat,3551841231,CFCBB4D3
0_DECAL_wet,3084390091,CB0ED8B7
0_Debris_mod,4186665632,A0728BF9
0_Debris_mod0,4042659894,3618F6F0
0_Decal,3838887077,A5C4D0E4
0_Decal_light_0,1744597795,2373FC67
0_Decal_light_1,284902325,B543FB10
0_Decal_light_2,2314342927,0F12F289
0_ESM_GPUP,1701860300,CC537065
0_ESM_GPUP_Blue,472232104,A8B0251C
0_ESM_GPU_smk,1572961167,8F7BC15D
0_ESM_PT_GPUP,665538926,6E51AB27
0_EW_DECAL1,457667159,5772471B
0_EW_DECAL2,2186159085,ED234E82
0_EXT,1671930378,0AA2A763
0_EXT_B_DECAL,3696810940,BCDB58DC
0_EXT_B_EMBER,3140307123,B3482DBB
0_EXT_B_GPUP,4037421106,3228A6F0
0_EXT_B_LIGHT,1666819078,06A45963
0_EXT_B_SMK,3086429203,132CF7B7
0_EXT_EMT3D,3683332219,7B308BDB
0_EXT_GPU,3351056184,380FBDC7
0_EXT_GPU1,2031814059,AB051B79
0_EXT_GPU2,3759297553,115412E0
0_EXT_GPUP,1135498341,6554AE43
0_EXT_GPU_yoin,1908762747,7B68C571
0_EXT_INSIDE,896137487,0FF96935
0_EXT_MOD,1841341570,82A4C06D
0_EXT_MOD_IMP,2738981024,A08841A3
0_EXT_MOD_yoin,3105442218,AA4919B9
0_EXT_PT,1749666977,A1CC4968
0_EXT_PTC,1315752600,98CA6C4E
0_EXT_RGB,1526755314,F26F005B
0_EXT_YOIN,4167758010,BAF06AF8
0_EXT_YOIN_PT,3226448881,F1B34FC0
0_EXT_YOIN_bom,3794030106,1A4E24E2
0_EXT_YOIN_elec,2121523518,3EE1737E
0_EXT_YOIN_plume,3596774801,916D62D6
0_EXT_dist,625929567,5FED4E25
0_EXT_smk,1331042145,6117564F
0_EXT_smk_yoin,2273744819,B3978687
0_EXT_smoke,1139613456,101FED43
0_EXT_smoke_yoin,3812501726,DE283EE3
0_EYE,269267897,B9B30C10
0_EYE0,2490644279,37377494
0_EYE1,3815966625,A10773E3
0_EYE2,2054837787,1B567A7A
0_EYE3,226322061,8D667D0D
0_FILTER,4101231501,8DD373F4
0_FILTER0,3039083746,E2BC24B5
0_FILTER_PT,1000972105,499FA93B
0_Fall_PT,3286050198,9625DDC3
0_GLOW_PT,2144539326,BE12D37F
0_GPU,3757952250,FACCFDDF
0_GPU0,2070861410,62D66E7B
0_GPU00,2233359886,0E5E1E85
0_GPU01,4061752984,986E19F2
0_GPU010,3640603316,B432FFD8
0_GPU011,2952266274,2202F8AF
0_GPU1,208266996,F4E6690C
0_GPU10,2617601871,4F6F059C
0_GPU100,3223742914,C26926C0
0_GPU2,2506143566,4EB76095
0_GPU3,3798435800,D88767E2
0_GPU4,2080576123,7B12037C
0_GPU5,184820461,ED22040B
0_GPU7,3842655169,C1430AE5
0_GPUP,920434490,3AB7DC36
0_GPUP0,3772986793,A935E3E0
0_GPUP1,2548303167,3F05E497
0_GPUP2,250434693,8554ED0E
0_GPUP_around,2271261820,7CB46087
0_GPUP_loop,1558385101,CD11E35C
0_GPU_CH,3634584787,D35CA3D8
0_GPU_Debris,3277380796,BCDC58C3
0_GPU_ICE,4158114096,30C9D7F7
0_GPU_Soot,283022871,1796DE10
0_GPU_dirt,2260944545,A146C386
0_GPU_far,3687394242,C22BC9DB
0_GPU_fire,1182445272,D8AE7A46
0_GPU_gather,143744155,9B5C9108
0_GPU_ice,1634765754,BA8B7061
0_GPU_kira,3011359260,1CB27DB3
0_GPU_leave,3397340733,3D4E7FCA
0_GPU_mid,3952212858,7AFB91EB
0_GPU_spark,3436970432,C001DCCC
0_GPU_st,680138407,A7168A28
0_GPU_yoin,1953073073,B1876974
0_G_MOD1,3051374685,5D48E0B5
0_G_MOD2,753474023,E719E92C
0_HIT_Flash,637161615,8F50FA25
0_HIT_GPU0,1420867478,96B7B054
0_HIT_GPU1,599230208,0087B723
0_HIT_Smoke_Rise,642339796,D4534926
0_INIT,564254519,37D7A121
0_INSIDE,826900004,247E4931
0_INSIDE2,4108713007,2FFCE5F4
0_INV_L_ARM,4163081302,569423F8
0_INV_L_LEG,363686541,8D6AAD15
0_INV_NECK,2900302847,FF1BDFAC
0_INV_R_ARM,670285237,B5BDF327
0_INV_R_LEG,3397206894,6E437DCA
0_INV_TAIL,4042881521,F179F9F0
0_INV_TORSO,299848398,CE52DF11
0_INV_elec,438003057,71651B1A
0_INV_elec0,29452899,636AC101
0_INV_smk1,1967987283,531A4D75
0_INV_smk2,3963898857,E94B44EC
0_JIMEN_PT,1507865896,2835E059
0_LAND,1339418267,9BE6D54F
0_LIGHT,1833195179,AB56446D
0_LIGHT0,1739591322,9A0EB067
0_LIGHT1,280444428,0C3EB710
0_LIGHT2,2310959030,B66FBE89
0_LIGHTNING,3616502811,1B748FD7
0_LIGHT_,3132977747,5372BDBA
0_LIGHT_BODY,946581263,0FAF6B38
0_LIGHT_J2,3990639157,3552DCED
0_LIGHT_J3,2598068899,A362DB9A
0_LIGHT_PT,4179651715,836C20F9
0_LIGHT_SCR,4142463201,E1F8E8F6
0_LIGHT_area,46298209,6174C202
0_Light,1540471583,1FBBD15B
0_Light1,3700284532,74DC8DDC
0_Light2,1166314958,CE8D8445
0_Light3,847494488,58BD8332
0_Light4,2900830459,FB28E7AC
0_Lightning,297592919,57E8BC11
0_MOD,1971349312,40678075
0_MOD0,1349579099,5BF17050
0_MOD00,3660630049,21C830DA
0_MOD0000,3770647310,0E83BFE0
0_MOD00000,3246498344,28A281C1
0_MOD01,2906126519,B7F837AD
0_MOD02,876521741,0DA93E34
0_MOD1,662159821,CDC17727
0_MOD2,3195965559,77907EBE
0_MOD3,3380191457,E1A079C9
0_MOD_1,1330810847,DF8F524F
0_MOD_2,3596344933,65DE5BD6
0_MOD_Attack,2563684951,57BACE98
0_MOD_BIRD,1079428476,7CC55640
0_MOD_DOWN,4229102409,49FB12FC
0_MOD_FADE,2864219858,D286B8AA
0_MOD_Feather,463505533,7D88A01B
0_MOD_Feather0,141991333,A59D7608
